Lpred,H,threshold,cells,cells_used,min_cell_n,best_deep_bin,best_bite_bin,best_mean_deep_rate,best_mean_bite_rate,best_hazard,worst_deep_bin,worst_bite_bin,worst_mean_deep_rate,worst_mean_bite_rate,worst_hazard,weighted_deep_effect_within_bite,weighted_bite_effect_within_deep,deep_effect_min,deep_effect_max,bite_effect_min,bite_effect_max
313,312,40,20,19,1000,0,4,0.15800618080775353,0.1763967507983108,0.2627915126800051,4,0,0.2953986930243139,0.0,0.04632458705073847,-0.020833942676427228,0.1722952069082017,-0.037867442235361815,-0.0040141188590956806,0.12690375940595444,0.21245280677017098
313,312,80,20,19,1000,0,4,0.15800618080775353,0.1763967507983108,0.018713361794316298,0,0,0.18703976930533886,0.0,0.000817565989254847,-0.0017229150699227737,0.011231389380493303,-0.007681059763837996,0.0007759433978786223,0.0006702701404255858,0.01789579580506145
313,1040,40,20,19,1000,0,4,0.15799207124438858,0.17643349991140553,0.5188149272814447,4,0,0.29540062535644424,0.0,0.19874901678182683,-0.02872723149350986,0.26404597796513457,-0.07346613683081038,-0.009618412276604427,0.19509774389266288,0.3001218141161043
313,1040,80,20,19,1000,3,4,0.25973543975331637,0.132442496652016,0.03339787028073572,4,0,0.29540062535644424,0.0,0.00763495405368489,-0.0026682372455816006,0.018133860891220356,-0.006007512634763998,0.0004947218070262757,0.00942450753787413,0.023130344442228654
1040,312,40,24,21,1000,0,4,0.18173776788574128,0.138632754092492,0.24118162027317028,1,0,0.22358966390974014,8.889300568915206e-05,0.026413921690490987,-0.038482098595586677,0.11009160153794757,-0.08181335035213655,0.007141368462152044,0.08831053395044242,0.1751510545377182
1040,312,80,24,21,1000,0,4,0.18173776788574128,0.138632754092492,0.013879312348443177,4,3,0.2673738911690684,0.06783121496976974,0.0,-0.004642270228192185,0.002367625226793431,-0.01069271539504499,-4.572673885243133e-05,-0.001974161390420409,0.009040597871783684
1040,1040,40,24,21,1000,0,4,0.18173147836298364,0.13867524477747525,0.5063308336050429,4,0,0.27521139216682494,0.0001084555186394163,0.16013609082916014,-0.062144071027090866,0.1644590791387675,-0.10643954895202606,-0.007152466384770212,0.11795667444778946,0.28329250175156984
1040,1040,80,24,21,1000,0,4,0.18173147836298364,0.13867524477747525,0.02989581877746208,2,0,0.24032892057635322,9.51038158739158e-05,0.0054113188380316085,-0.003482696723660819,0.013003403928750058,-0.01431328570987737,0.00823971585533754,0.00655204716733142,0.01778031726955292
3120,312,40,23,19,1000,0,4,0.19846492248288433,0.11182392234561259,0.21219751546180005,4,0,0.2640797903752551,0.006230774590933067,0.05603752384436489,-0.03156329694863516,0.06973398996017673,-0.042472030591943766,-0.021191595496561536,0.055713207149787156,0.09590644330517246
3120,312,80,23,19,1000,2,4,0.23255108780108796,0.08751155788655744,0.019393939393939394,0,2,0.2118940647166415,0.053652451938741165,0.0,0.0018212455601477827,0.006889603951373132,-0.008576725318450766,0.005115071661746139,-0.002476655711477884,0.019393939393939394
3120,1040,40,23,19,1000,0,4,0.19839763349344355,0.11198354691360142,0.4877542580566107,4,0,0.26407699165909854,0.006236262574669396,0.2023278395968927,-0.09109523217984113,0.10363359097729269,-0.12153891311786152,-0.05777743401518398,0.042848670635410646,0.14391261582787168
3120,1040,80,23,19,1000,2,4,0.2324564176957793,0.08779871133594444,0.042875564152159894,3,3,0.24535187354987092,0.06349372143039032,0.004208838560978054,-0.0016847216532531691,0.015125986665839431,-0.01733593895102425,0.00806441968457014,-0.0029874835755094933,0.028077669624401426
