predictor,Lpred,H,threshold,bins,n_total,bottom_bin,top_bin,bottom_mean_deep_rate,top_mean_deep_rate,bottom_mean_bite_rate,top_mean_bite_rate,bottom_hazard,top_hazard,hazard_ratio_top_bottom,hazard_delta_top_minus_bottom
deep_black,313,312,40,5,1630537,0,4,0.164171807845963,0.2947884618674221,0.14879617640539367,0.005836935413144619,0.24303009399482348,0.06985808309337721,0.28744622505419093,-0.17317201090144627
deep_black,313,312,80,5,1630537,0,4,0.164171807845963,0.2947884618674221,0.14879617640539367,0.005836935413144619,0.016025204409032545,0.0021047579871109282,0.13134047675077326,-0.013920446421921617
deep_black,313,1040,40,5,1626169,0,4,0.16417108497979924,0.294784221726316,0.14883094884549317,0.0058307678165023585,0.496269297115214,0.23844755480259383,0.48048016709612357,-0.2578217423126202
deep_black,313,1040,80,5,1626169,0,4,0.16417108497979924,0.294784221726316,0.14883094884549317,0.0058307678165023585,0.029831078427665088,0.009405530603197949,0.31529301315755787,-0.02042554782446714
deep_black,1040,312,40,5,1626176,0,4,0.18520396048849647,0.2741624234086773,0.12543363465112828,0.007467028061461143,0.22676636010331427,0.06347313528743018,0.2799054289115544,-0.1632932248158841
deep_black,1040,312,80,5,1626176,0,4,0.18520396048849647,0.2741624234086773,0.12543363465112828,0.007467028061461143,0.013125497863712072,0.0024714546982353815,0.18829416787824763,-0.01065404316547669
deep_black,1040,1040,40,5,1621808,0,4,0.1851930542777002,0.2741728103806022,0.12549774488173063,0.007451306135555683,0.4867026346605987,0.2225682716687667,0.45729826760435416,-0.264134362991832
deep_black,1040,1040,80,5,1621808,0,4,0.1851930542777002,0.2741728103806022,0.12549774488173063,0.007451306135555683,0.027314897467010008,0.01137732151536635,0.41652440867140306,-0.01593757595164366
deep_black,3120,312,40,5,1613696,0,4,0.20066516238519586,0.2628334106520167,0.10430811857140299,0.012505901679938317,0.20889129412054105,0.06832645771494693,0.32709097812146753,-0.14056483640559414
deep_black,3120,312,80,5,1613696,0,4,0.20066516238519586,0.2628334106520167,0.10430811857140299,0.012505901679938317,0.013095871372037746,0.0021664486592544146,0.16542989753856374,-0.010929422712783332
deep_black,3120,1040,40,5,1609328,0,4,0.20064031582897832,0.26282750048992853,0.10435663929441154,0.012529453955699517,0.4789735048271182,0.22472416903754078,0.46917870565440406,-0.2542493357895774
deep_black,3120,1040,80,5,1609328,0,4,0.20064031582897832,0.26282750048992853,0.10435663929441154,0.012529453955699517,0.03208414299373863,0.008456292857097798,0.26356611297824234,-0.02362785013664083
fresh_bite,313,312,40,4,1630537,0,4,0.2619819375773501,0.17028263059245494,0.0,0.16903073798355644,0.04983844178476847,0.2518207563093504,5.052741363721998,0.20198231452458193
fresh_bite,313,312,80,4,1630537,0,4,0.2619819375773501,0.17028263059245494,0.0,0.16903073798355644,0.0016490387546411742,0.016869736998393357,10.23004277547386,0.015220698243752183
fresh_bite,313,1040,40,4,1626169,0,4,0.2619841541362876,0.17028047415711633,0.0,0.16905341493460768,0.2102188388604403,0.5111457428561573,2.431493512317875,0.30092690399571703
fresh_bite,313,1040,80,4,1626169,0,4,0.2619841541362876,0.17028047415711633,0.0,0.16905341493460768,0.009272782550119523,0.03131594708241484,3.377189847076829,0.02204316453229532
fresh_bite,1040,312,40,5,1626176,0,4,0.2626356999326522,0.1888411415286701,0.0001097396655712697,0.13323503325542865,0.03529802322142933,0.23235516120584745,6.582667809702875,0.19705713798441812
fresh_bite,1040,312,80,5,1626176,0,4,0.2626356999326522,0.1888411415286701,0.0001097396655712697,0.13323503325542865,0.001525963700475922,0.013195310935502257,8.647198443440605,0.011669347235026335
fresh_bite,1040,1040,40,5,1621808,0,4,0.2626636957162607,0.18883334156576223,0.00010991609205597495,0.1332717634223568,0.16861506262101694,0.4941729979038228,2.9307761134871875,0.32555793528280585
fresh_bite,1040,1040,80,5,1621808,0,4,0.2626636957162607,0.18883334156576223,0.00010991609205597495,0.1332717634223568,0.008304699654157387,0.028617912281622485,3.445990038579682,0.020313212627465098
fresh_bite,3120,312,40,5,1613696,0,4,0.2593721818975711,0.20262725995351583,0.0073424466367329345,0.1079562670254402,0.061473242802957365,0.2074306477014844,3.3743241489044284,0.14595740489852704
fresh_bite,3120,312,80,5,1613696,0,4,0.2593721818975711,0.20262725995351583,0.0073424466367329345,0.1079562670254402,0.0016749036471943835,0.01358523791217649,8.111056379232922,0.011910334264982107
fresh_bite,3120,1040,40,5,1609328,0,4,0.25937851487889296,0.20247824384556015,0.0073600566146530795,0.10820901862333211,0.21846808092229789,0.4750083086165056,2.1742686923013292,0.2565402276942077
fresh_bite,3120,1040,80,5,1609328,0,4,0.25937851487889296,0.20247824384556015,0.0073600566146530795,0.10820901862333211,0.006550969740173545,0.033620111241401365,5.132081596290615,0.02706914150122782
