sample,frame,depth_bin,count,depth_min,depth_median,depth_max,linf_min,linf_q25,linf_median,linf_q75,linf_max,linf_mean,l1_median,l1_max,offset_median,offset_max,missing_black,frontier_black_collision,other_bad_kind
attempts,raw,40-77,675,40,48,77,2.0,4.0,5.0,6.0,9.0,5.038518518518519,7,13,48,77,282,393,0
attempts,raw,78-103,93,78,98,103,1.0,2.0,3.0,4.0,7.0,3.3870967741935485,4,10,98,103,85,8,0
attempts,raw,104-207,6,134,162.0,169,7.0,7.25,8.0,8.75,9.0,8.0,13.5,16,162.0,169,0,6,0
attempts,raw,208-511,8,268,335.5,492,10.0,11.0,12.5,16.0,16.0,13.125,20.5,28,335.5,492,0,8,0
attempts,raw,512-1023,2,685,742.0,799,19.0,19.75,20.5,21.25,22.0,20.5,35.0,37,742.0,799,0,2,0
attempts,raw,1024-,2,1533,1562.0,1591,36.0,36.0,36.0,36.0,36.0,36.0,68.0,69,1562.0,1591,0,2,0
attempts,raw,out_of_bins,0,,,,,,,,,,,,,,0,0,0
attempts,comoving,40-77,675,40,48,77,2.0,4.0,5.0,6.0,9.0,5.038518518518519,7,13,48,77,282,393,0
attempts,comoving,78-103,93,78,98,103,1.0,2.0,3.0,4.0,7.0,3.3870967741935485,4,10,98,103,85,8,0
attempts,comoving,104-207,6,134,162.0,169,5.0,5.25,6.0,6.75,7.0,6.0,9.5,12,162.0,169,0,6,0
attempts,comoving,208-511,8,268,335.5,492,6.0,7.0,7.5,8.0,8.0,7.375,10.0,12,335.5,492,0,8,0
attempts,comoving,512-1023,2,685,742.0,799,7.0,7.25,7.5,7.75,8.0,7.5,9.0,9,742.0,799,0,2,0
attempts,comoving,1024-,2,1533,1562.0,1591,6.0,6.5,7.0,7.5,8.0,7.0,10.0,13,1562.0,1591,0,2,0
attempts,comoving,out_of_bins,0,,,,,,,,,,,,,,0,0,0
physical_unique,raw,40-77,675,40,48,77,2.0,4.0,5.0,6.0,9.0,5.038518518518519,7,13,48,77,282,393,0
physical_unique,raw,78-103,93,78,98,103,1.0,2.0,3.0,4.0,7.0,3.3870967741935485,4,10,98,103,85,8,0
physical_unique,raw,104-207,6,134,162.0,169,7.0,7.25,8.0,8.75,9.0,8.0,13.5,16,162.0,169,0,6,0
physical_unique,raw,208-511,8,268,335.5,492,10.0,11.0,12.5,16.0,16.0,13.125,20.5,28,335.5,492,0,8,0
physical_unique,raw,512-1023,2,685,742.0,799,19.0,19.75,20.5,21.25,22.0,20.5,35.0,37,742.0,799,0,2,0
physical_unique,raw,1024-,2,1533,1562.0,1591,36.0,36.0,36.0,36.0,36.0,36.0,68.0,69,1562.0,1591,0,2,0
physical_unique,raw,out_of_bins,0,,,,,,,,,,,,,,0,0,0
physical_unique,comoving,40-77,675,40,48,77,2.0,4.0,5.0,6.0,9.0,5.038518518518519,7,13,48,77,282,393,0
physical_unique,comoving,78-103,93,78,98,103,1.0,2.0,3.0,4.0,7.0,3.3870967741935485,4,10,98,103,85,8,0
physical_unique,comoving,104-207,6,134,162.0,169,5.0,5.25,6.0,6.75,7.0,6.0,9.5,12,162.0,169,0,6,0
physical_unique,comoving,208-511,8,268,335.5,492,6.0,7.0,7.5,8.0,8.0,7.375,10.0,12,335.5,492,0,8,0
physical_unique,comoving,512-1023,2,685,742.0,799,7.0,7.25,7.5,7.75,8.0,7.5,9.0,9,742.0,799,0,2,0
physical_unique,comoving,1024-,2,1533,1562.0,1591,6.0,6.5,7.0,7.5,8.0,7.0,10.0,13,1562.0,1591,0,2,0
physical_unique,comoving,out_of_bins,0,,,,,,,,,,,,,,0,0,0
